UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
32,L47211,L,299.0,309.4,1798.0,25.5,89.0,0,No Failure
33,L47212,L,299.0,309.4,1419.0,48.3,91.0,0,No Failure
34,L47213,L,298.9,,1665.0,32.5,93.0,0,No Failure
35,M14894,M,298.8,309.1,1559.0,34.7,95.0,0,No Failure
36,M14895,M,298.8,309.2,1452.0,48.6,98.0,0,No Failure
37,M14896,M,298.9,309.2,1581.0,36.7,101.0,0,No Failure
38,L47217,L,298.8,309.1,1439.0,39.2,104.0,0,No Failure
39,H29452,H,298.9,309.2,1379.0,50.7,,0,No Failure
40,L47219,L,298.8,309.1,1350.0,52.5,111.0,0,No Failure
41,L47220,L,298.8,309.1,1362.0,45.4,113.0,0,No Failure
42,L47221,L,298.8,309.1,1368.0,50.8,115.0,0,No Failure
43,M14902,M,,309.1,1368.0,49.1,,0,No Failure
44,H29457,H,298.8,309.2,1372.0,48.5,120.0,0,No Failure
45,M14904,M,298.8,309.1,1472.0,47.5,125.0,0,No Failure
46,L47225,L,298.8,309.1,1489.0,49.1,128.0,0,No Failure
47,M14906,M,298.7,309.0,1843.0,25.8,130.0,0,No Failure
48,L47227,L,298.8,309.1,1418.0,46.3,133.0,0,No Failure
49,H29462,H,,309.2,1425.0,53.9,135.0,0,No Failure
50,M14909,M,298.9,309.2,1412.0,44.1,140.0,0,No Failure
51,L47230,L,298.9,309.1,2861.0,,143.0,1,Power Failure
52,L47231,L,298.9,,1383.0,54.9,145.0,0,No Failure
53,H29466,H,298.8,309.0,1497.0,43.8,,0,No Failure
54,L47233,L,298.7,309.0,1565.0,35.1,152.0,0,No Failure
55,L47234,L,298.7,309.0,1691.0,30.1,154.0,0,No Failure
56,L47235,L,298.8,309.1,1512.0,40.7,156.0,0,No Failure
57,L47236,L,298.8,309.1,1477.0,42.4,158.0,0,No Failure
58,L47237,L,298.8,309.1,1513.0,40.3,160.0,0,No Failure
59,M14918,M,298.8,309.0,1661.0,29.5,162.0,0,No Failure
60,L47239,L,298.8,309.1,1378.0,54.4,165.0,0,No Failure
61,L47240,L,298.8,309.1,1393.0,52.6,167.0,0,No Failure
62,M14921,M,298.8,309.0,1592.0,38.2,169.0,0,No Failure
63,L47242,L,298.8,,1829.0,22.9,172.0,0,No Failure
64,M14923,M,298.9,309.0,1812.0,25.9,174.0,0,No Failure
65,L47244,L,299.0,309.1,1523.0,38.6,177.0,0,No Failure
66,L47245,L,299.0,309.1,1394.0,45.1,179.0,0,No Failure
67,M14926,M,298.9,308.9,,28.7,,0,No Failure
68,H29481,H,298.8,308.9,1466.0,44.1,184.0,0,No Failure
69,L47248,L,298.8,308.9,1527.0,32.4,189.0,0,No Failure
70,L47249,L,298.9,309.0,1410.0,65.7,191.0,1,Power Failure
71,M14930,M,298.9,309.0,1924.0,22.6,193.0,0,No Failure
72,L47251,L,298.9,309.1,1452.0,45.5,196.0,0,No Failure
73,L47252,L,298.9,309.1,1369.0,44.4,198.0,0,No Failure
74,L47253,L,299.0,309.1,1592.0,35.0,200.0,0,No Failure
75,L47254,L,298.9,,1601.0,32.3,202.0,0,No Failure
76,L47255,L,298.8,308.9,1379.0,46.7,204.0,0,No Failure
77,L47256,L,298.8,308.9,1461.0,47.9,206.0,0,No Failure
78,L47257,L,298.8,308.9,1455.0,41.3,208.0,1,Tool Wear Failure
79,L47258,L,298.8,308.9,1398.0,51.5,0.0,0,No Failure
80,L47259,L,298.8,308.9,1402.0,37.9,2.0,0,No Failure
81,H29494,H,298.8,308.8,1445.0,49.9,4.0,0,No Failure
82,L47261,L,298.9,308.9,1450.0,47.5,9.0,0,No Failure
83,L47262,L,298.9,308.9,1453.0,40.8,11.0,0,No Failure
84,L47263,L,299.0,309.0,1469.0,40.1,13.0,0,No Failure
85,L47264,L,298.9,308.9,1422.0,47.6,15.0,0,No Failure
86,M14945,M,299.0,309.0,1804.0,26.8,17.0,0,No Failure
87,H29500,H,299.0,309.0,1436.0,43.9,20.0,0,No Failure
88,L47267,L,299.0,309.0,1544.0,31.8,25.0,0,No Failure
89,M14948,M,299.0,309.0,1419.0,45.2,27.0,0,No Failure
90,M14949,M,298.9,308.9,1487.0,39.5,30.0,0,No Failure
91,L47270,L,298.9,308.9,1753.0,25.8,33.0,0,No Failure
92,L47271,L,298.9,308.9,1830.0,24.9,35.0,0,No Failure
93,M14952,M,298.9,308.9,1727.0,,37.0,0,No Failure
94,L47273,L,299.1,309.0,1450.0,43.0,40.0,0,No Failure
95,L47274,L,299.0,308.9,1622.0,,42.0,0,No Failure
96,M14955,M,299.0,309.0,1351.0,52.2,,0,No Failure
97,M14956,M,299.0,309.0,1575.0,35.3,47.0,0,No Failure
98,M14957,M,298.9,308.9,1750.0,29.9,50.0,0,No Failure
99,L47278,L,298.9,308.8,1529.0,32.7,53.0,0,No Failure
100,L47279,L,298.8,308.8,1523.0,44.4,55.0,0,No Failure
101,L47280,L,298.8,308.9,1852.0,25.0,57.0,0,No Failure
102,L47281,L,298.8,308.8,1991.0,20.7,59.0,0,No Failure
103,L47282,L,298.8,308.8,1555.0,40.6,61.0,0,No Failure
104,M14963,M,298.8,308.8,1441.0,40.5,63.0,0,No Failure
105,L47284,L,298.8,308.7,1450.0,43.4,,0,No Failure
106,L47285,L,298.8,308.7,1591.0,31.1,68.0,0,No Failure
107,L47286,L,298.8,308.7,1445.0,48.5,70.0,0,No Failure
108,M14967,M,298.8,308.8,1497.0,46.8,72.0,0,No Failure
109,H29522,H,298.9,308.8,1621.0,32.7,75.0,0,No Failure
110,L47289,L,298.9,308.7,1572.0,34.1,80.0,0,No Failure
111,L47290,L,298.8,308.6,1872.0,22.5,82.0,0,No Failure
112,H29525,H,298.7,308.6,1499.0,43.5,84.0,0,No Failure
113,M14972,M,298.8,308.7,1498.0,39.5,89.0,0,No Failure
114,M14973,M,298.8,308.6,1486.0,41.9,92.0,0,No Failure
115,L47294,L,298.8,308.6,1680.0,29.4,95.0,0,No Failure
116,L47295,L,298.8,308.6,1431.0,45.7,97.0,0,No Failure
117,L47296,L,298.9,308.7,1564.0,34.1,99.0,0,No Failure
118,L47297,L,298.8,308.6,1599.0,33.0,101.0,0,No Failure
119,M14978,M,298.8,308.6,1707.0,28.1,103.0,0,No Failure
120,L47299,L,298.7,308.5,1467.0,40.7,106.0,0,No Failure
121,L47300,L,298.9,308.7,1433.0,44.7,108.0,0,No Failure
122,L47301,L,298.9,308.7,1558.0,41.2,110.0,0,No Failure
123,L47302,L,299.0,308.8,1310.0,50.7,112.0,0,No Failure
124,L47303,L,298.9,308.7,1546.0,43.4,114.0,0,No Failure
125,L47304,L,298.9,308.7,1727.0,29.4,116.0,0,No Failure
126,L47305,L,,308.6,1560.0,32.2,118.0,0,No Failure
127,L47306,L,299.0,308.6,1329.0,60.5,120.0,0,No Failure
128,L47307,L,298.9,308.6,1413.0,46.5,122.0,0,No Failure
129,L47308,L,299.0,308.6,1587.0,38.6,124.0,0,No Failure
130,L47309,L,298.9,308.5,1559.0,34.3,126.0,0,No Failure
131,L47310,L,298.8,308.4,1473.0,41.1,128.0,0,No Failure
132,L47311,L,298.8,308.4,1737.0,27.7,130.0,0,No Failure
133,M14992,M,298.7,308.4,1441.0,43.2,132.0,0,No Failure
134,M14993,M,298.7,308.4,1430.0,49.6,135.0,0,No Failure
135,L47314,L,298.8,308.4,1369.0,53.0,138.0,0,No Failure
136,M14995,M,298.8,308.5,1711.0,28.5,140.0,0,No Failure
137,H29550,H,298.7,308.5,1420.0,45.7,143.0,0,No Failure
138,L47317,L,298.7,308.6,1297.0,55.3,148.0,0,No Failure
139,H29552,H,298.8,308.6,1449.0,49.4,150.0,0,No Failure
140,L47319,L,298.8,308.6,1268.0,55.8,155.0,0,No Failure
141,L47320,L,298.8,308.6,1511.0,36.1,157.0,0,No Failure
142,L47321,L,298.7,308.5,1544.0,35.2,159.0,0,No Failure
143,M15002,M,298.6,308.4,1778.0,28.2,161.0,0,No Failure
144,H29557,H,298.6,308.4,1407.0,50.5,164.0,0,No Failure
145,M15004,M,298.6,308.4,1391.0,42.4,169.0,0,No Failure
146,L47325,L,298.5,308.4,1513.0,33.6,172.0,0,No Failure
147,H29560,H,298.5,308.4,,36.1,174.0,0,No Failure
148,L47327,L,298.4,308.4,1515.0,40.1,179.0,0,No Failure
149,M15008,M,298.3,308.3,1379.0,48.0,181.0,0,No Failure
150,L47329,L,298.4,308.3,1473.0,39.9,184.0,0,No Failure
151,L47330,L,298.4,,1422.0,42.7,186.0,0,No Failure
152,M15011,M,298.4,308.2,1463.0,,188.0,0,No Failure
153,M15012,M,298.4,308.2,1584.0,41.0,191.0,0,No Failure
154,L47333,L,298.4,308.2,1850.0,27.0,194.0,0,No Failure
155,L47334,L,,308.2,1528.0,,196.0,0,No Failure
156,H29569,H,298.4,308.2,1987.0,19.8,198.0,0,No Failure
157,M15016,M,298.4,308.1,1495.0,46.0,203.0,0,No Failure
158,H29571,H,298.4,308.2,1478.0,43.5,206.0,0,No Failure
159,M15018,M,298.4,308.2,1499.0,,211.0,0,No Failure
160,L47339,L,,308.2,1471.0,47.0,214.0,0,No Failure
161,L47340,L,298.4,308.2,1282.0,60.7,216.0,1,Overstrain Failure
162,L47341,L,298.3,308.1,1412.0,52.3,218.0,1,Overstrain Failure
163,L47342,L,298.3,308.1,1586.0,35.5,0.0,0,No Failure
164,M15023,M,298.4,308.2,1468.0,43.8,2.0,0,No Failure
165,M15024,M,298.5,308.3,1440.0,43.6,5.0,0,No Failure
166,L47345,L,298.5,308.4,1733.0,26.0,8.0,0,No Failure
167,H29580,H,298.4,308.2,1612.0,32.6,10.0,0,No Failure
168,H29581,H,,308.3,1458.0,42.9,15.0,0,No Failure
169,L47348,L,298.4,308.3,1433.0,62.3,20.0,1,Power Failure
170,L47349,L,298.4,308.3,1318.0,59.1,22.0,0,No Failure
171,M15030,M,298.4,308.2,1610.0,35.0,24.0,0,No Failure
172,L47351,L,298.2,308.1,1462.0,,27.0,0,No Failure
173,M15032,M,298.1,308.0,1924.0,20.8,29.0,0,No Failure
174,M15033,M,298.2,308.0,1591.0,33.7,32.0,0,No Failure
175,L47354,L,298.2,308.1,1306.0,58.3,35.0,0,No Failure
176,L47355,L,298.2,308.1,1382.0,43.5,37.0,0,No Failure
177,L47356,L,,308.1,1618.0,34.7,39.0,0,No Failure
178,L47357,L,298.2,308.2,1988.0,21.4,41.0,0,No Failure
179,L47358,L,298.2,308.2,1436.0,50.2,43.0,0,No Failure
180,L47359,L,298.2,308.3,1304.0,49.8,45.0,0,No Failure
181,L47360,L,298.2,308.3,1475.0,49.9,47.0,0,No Failure
182,H29595,H,298.2,308.3,1824.0,24.2,49.0,0,No Failure
183,M15042,M,298.1,308.2,1342.0,48.1,54.0,0,No Failure
184,L47363,L,298.1,308.2,1485.0,40.7,57.0,0,No Failure
185,L47364,L,298.2,308.2,1667.0,30.6,59.0,0,No Failure
186,L47365,L,298.2,308.2,1446.0,38.2,61.0,0,No Failure
187,L47366,L,298.1,308.3,1301.0,56.0,63.0,0,No Failure
188,L47367,L,298.2,308.4,1379.0,,65.0,0,No Failure
189,L47368,L,298.3,308.5,1606.0,33.6,67.0,0,No Failure
190,M15049,M,,308.4,1539.0,43.4,69.0,0,No Failure
191,L47370,L,,308.4,1477.0,49.9,,0,No Failure
192,L47371,L,298.2,308.4,1666.0,34.6,74.0,0,No Failure
193,H29606,H,298.2,308.4,1398.0,51.8,76.0,0,No Failure
194,H29607,H,298.2,308.4,1678.0,34.6,81.0,0,No Failure
195,M15054,M,298.2,308.5,2678.0,10.7,86.0,1,Power Failure
196,L47375,L,298.3,308.5,1453.0,42.9,89.0,0,No Failure
197,H29610,H,298.3,308.6,1432.0,49.5,91.0,0,No Failure
198,M15057,M,298.4,308.6,1527.0,40.9,96.0,0,No Failure
199,L47378,L,298.4,308.7,1588.0,35.0,99.0,0,No Failure
200,L47379,L,298.4,308.6,1433.0,47.1,101.0,0,No Failure
201,L47380,L,298.4,308.6,1609.0,35.0,103.0,0,No Failure
202,L47381,L,,308.5,1575.0,41.2,,0,No Failure
203,M15062,M,298.4,308.5,1636.0,35.7,107.0,0,No Failure
204,L47383,L,298.4,308.5,1490.0,37.9,110.0,0,No Failure
205,L47384,L,298.4,308.5,1741.0,32.8,112.0,0,No Failure
206,M15065,M,298.5,308.6,1344.0,53.0,114.0,0,No Failure
207,L47386,L,298.5,308.7,1609.0,35.3,117.0,0,No Failure
208,M15067,M,298.4,,1421.0,60.7,119.0,1,Power Failure
209,L47388,L,298.4,308.6,1591.0,36.7,122.0,0,No Failure
210,L47389,L,298.4,308.6,1477.0,44.0,124.0,0,No Failure
211,L47390,L,298.4,308.7,1523.0,36.1,126.0,0,No Failure
212,L47391,L,298.5,308.7,1575.0,33.9,128.0,0,No Failure
213,H29626,H,298.4,308.7,,52.9,130.0,0,No Failure
214,L47393,L,298.4,308.7,1386.0,44.9,135.0,0,No Failure
215,M15074,M,298.3,308.6,1589.0,37.1,137.0,0,No Failure
216,L47395,L,298.3,308.6,1548.0,40.3,140.0,0,No Failure
217,L47396,L,298.3,308.6,1499.0,38.3,142.0,0,No Failure
218,L47397,L,298.3,308.5,1664.0,31.6,144.0,0,No Failure
219,L47398,L,298.3,308.6,1447.0,38.1,146.0,0,No Failure
220,M15079,M,298.3,308.5,1434.0,46.2,148.0,0,No Failure
221,L47400,L,298.3,308.5,1416.0,52.7,151.0,0,No Failure
222,H29635,H,,308.5,1827.0,24.3,153.0,0,No Failure
223,L47402,L,298.4,308.6,1304.0,45.0,158.0,0,No Failure
224,L47403,L,298.4,308.6,1569.0,34.4,160.0,0,No Failure
225,L47404,L,298.3,308.6,1584.0,29.3,162.0,0,No Failure
226,L47405,L,298.3,308.5,1362.0,53.8,164.0,0,No Failure
227,L47406,L,,308.4,1329.0,49.2,166.0,0,No Failure
228,L47407,L,298.3,308.5,1539.0,36.1,168.0,0,No Failure
229,M15088,M,298.3,308.5,1629.0,37.1,170.0,0,No Failure
230,L47409,L,298.3,308.5,1538.0,32.2,173.0,0,No Failure
231,L47410,L,,,1570.0,34.8,175.0,0,No Failure
232,L47411,L,298.3,308.4,,43.1,177.0,0,No Failure
233,L47412,L,298.2,308.4,1424.0,47.6,179.0,0,No Failure
234,L47413,L,298.2,308.4,1512.0,34.9,181.0,0,No Failure
235,L47414,L,298.2,308.4,1478.0,42.9,183.0,0,No Failure
236,M15095,M,298.1,308.3,1680.0,33.7,185.0,0,No Failure
237,L47416,L,298.1,308.3,1495.0,38.7,188.0,0,No Failure
238,M15097,M,298.0,308.1,1552.0,36.6,190.0,0,No Failure
239,L47418,L,297.9,308.1,1393.0,50.3,193.0,0,No Failure
240,L47419,L,298.0,308.2,1611.0,30.6,195.0,0,No Failure
241,M15100,M,298.0,308.1,1339.0,51.6,197.0,0,No Failure
242,L47421,L,298.0,308.1,1777.0,24.3,200.0,0,No Failure
243,L47422,L,,308.2,1348.0,58.8,202.0,1,Overstrain Failure
244,L47423,L,298.0,308.2,1442.0,44.1,204.0,0,No Failure
245,M15104,M,298.0,308.2,1395.0,49.1,206.0,0,No Failure
246,M15105,M,297.9,308.1,1627.0,31.4,209.0,0,No Failure
247,L47426,L,297.9,308.1,1585.0,33.5,212.0,0,No Failure
248,L47427,L,,308.2,1469.0,45.5,214.0,0,No Failure
249,L47428,L,298.0,308.3,1362.0,56.8,216.0,1,Overstrain Failure
250,L47429,L,298.0,,1405.0,56.2,218.0,1,Overstrain Failure
251,L47430,L,298.0,308.3,1662.0,32.7,0.0,0,No Failure
252,M15111,M,298.0,308.2,1466.0,42.6,2.0,0,No Failure
253,L47432,L,298.0,308.2,1620.0,35.8,5.0,0,No Failure
254,L47433,L,298.0,308.2,1357.0,48.2,7.0,0,No Failure
255,L47434,L,298.0,308.2,1514.0,37.9,9.0,0,No Failure
256,L47435,L,298.0,308.2,1489.0,40.4,11.0,0,No Failure
257,L47436,L,,308.3,1331.0,,13.0,0,No Failure
258,L47437,L,298.0,308.0,1615.0,29.5,15.0,0,No Failure
259,L47438,L,298.1,308.2,1482.0,37.9,17.0,0,No Failure
260,M15119,M,298.1,308.2,1420.0,63.9,19.0,1,Power Failure
261,M15120,M,298.2,308.3,1522.0,49.1,22.0,0,No Failure
262,L47441,L,298.1,308.2,1654.0,32.1,25.0,0,No Failure
263,M15122,M,298.1,308.2,1736.0,26.8,27.0,0,No Failure
264,M15123,M,298.0,308.1,1587.0,32.3,30.0,0,No Failure
265,L47444,L,298.1,308.2,1390.0,,33.0,0,No Failure
266,L47445,L,,308.1,1454.0,,35.0,0,No Failure
267,H29680,H,298.0,308.1,1440.0,43.7,37.0,0,No Failure
268,L47447,L,297.9,308.0,1954.0,21.1,42.0,0,No Failure
269,H29682,H,297.9,308.0,1800.0,,44.0,0,No Failure
270,L47449,L,298.0,308.0,1524.0,37.0,49.0,0,No Failure
271,H29684,H,298.0,308.0,1520.0,39.6,51.0,0,No Failure
272,M15131,M,298.1,308.1,1452.0,,56.0,0,No Failure
273,L47452,L,,308.1,1484.0,40.4,59.0,0,No Failure
274,L47453,L,298.1,308.0,1426.0,46.0,,0,No Failure
275,L47454,L,298.1,308.0,1652.0,28.5,63.0,0,No Failure
276,L47455,L,298.0,308.0,1401.0,54.7,65.0,0,No Failure
277,M15136,M,298.0,307.9,1750.0,26.6,67.0,0,No Failure
278,H29691,H,298.0,308.0,1479.0,50.7,70.0,0,No Failure
279,M15138,M,298.0,308.0,1620.0,29.4,75.0,0,No Failure
280,L47459,L,298.0,308.1,1819.0,23.4,78.0,0,No Failure
281,M15140,M,298.1,308.1,1456.0,43.7,80.0,0,No Failure
282,L47461,L,298.1,308.0,1626.0,36.5,83.0,0,No Failure
283,M15142,M,298.1,308.1,1390.0,49.8,85.0,0,No Failure
284,L47463,L,298.2,308.2,1469.0,43.0,88.0,0,No Failure
285,L47464,L,298.2,308.3,2051.0,19.2,90.0,0,No Failure
286,L47465,L,298.2,308.3,1568.0,36.0,92.0,0,No Failure
287,L47466,L,298.2,308.3,1589.0,33.2,94.0,0,No Failure
288,L47467,L,298.2,308.3,1805.0,31.6,96.0,0,No Failure
289,H29702,H,298.2,308.4,1385.0,42.2,98.0,0,No Failure
290,L47469,L,298.1,308.4,1436.0,46.7,,0,No Failure
291,L47470,L,298.1,308.4,1438.0,45.6,105.0,0,No Failure
292,L47471,L,298.0,308.3,,42.6,107.0,0,No Failure
293,L47472,L,298.1,308.4,1335.0,40.2,109.0,0,No Failure
294,H29707,H,298.1,308.5,1392.0,44.8,111.0,0,No Failure
295,M15154,M,298.1,308.5,1372.0,51.1,116.0,0,No Failure
296,M15155,M,298.1,,1716.0,,119.0,0,No Failure
297,L47476,L,,308.5,1395.0,46.2,122.0,0,No Failure
298,L47477,L,298.0,308.5,1713.0,25.3,124.0,0,No Failure
299,H29712,H,297.9,308.5,2129.0,18.7,126.0,0,No Failure
300,M15159,M,297.8,308.3,1567.0,35.6,131.0,0,No Failure
301,L47480,L,297.8,308.4,1622.0,38.3,134.0,0,No Failure
302,L47481,L,297.7,308.4,1740.0,27.1,136.0,0,No Failure
303,H29716,H,297.8,308.4,1512.0,35.1,138.0,0,No Failure
304,M15163,M,297.8,308.4,1479.0,43.5,143.0,0,No Failure
305,L47484,L,297.8,308.4,1737.0,27.5,146.0,0,No Failure
306,L47485,L,297.8,308.4,2129.0,19.2,148.0,0,No Failure
307,L47486,L,297.8,308.4,1374.0,47.1,,0,No Failure
308,M15167,M,297.8,308.4,1579.0,36.6,152.0,0,No Failure
309,L47488,L,297.9,308.5,1305.0,47.2,155.0,0,No Failure
310,M15169,M,297.9,308.5,1449.0,40.8,157.0,0,No Failure
311,H29724,H,298.0,308.6,1526.0,41.8,160.0,0,No Failure
312,M15171,M,298.0,308.6,1453.0,44.1,165.0,0,No Failure
313,L47492,L,297.9,308.6,1468.0,36.0,168.0,0,No Failure
314,L47493,L,298.0,308.6,1313.0,50.8,170.0,0,No Failure
315,M15174,M,297.9,308.5,,53.0,172.0,0,No Failure
316,L47495,L,297.9,308.4,1646.0,40.6,175.0,0,No Failure
317,L47496,L,297.8,308.4,1714.0,33.2,177.0,0,No Failure
318,L47497,L,297.8,308.4,1685.0,28.4,179.0,0,No Failure
319,L47498,L,297.8,308.4,1512.0,39.9,181.0,0,No Failure
320,L47499,L,297.8,308.4,1612.0,32.1,183.0,0,No Failure
321,H29734,H,297.8,308.4,1550.0,38.2,185.0,0,No Failure
322,L47501,L,297.8,308.4,1518.0,32.5,190.0,0,No Failure
323,L47502,L,297.8,308.5,1448.0,,192.0,0,No Failure
324,L47503,L,297.8,308.5,1561.0,46.3,194.0,0,No Failure
325,M15184,M,297.8,308.5,1488.0,41.9,196.0,0,No Failure
326,L47505,L,297.8,308.5,1699.0,27.8,199.0,0,No Failure
327,L47506,L,297.7,308.5,1501.0,41.4,201.0,0,No Failure
328,L47507,L,297.7,308.5,1373.0,,203.0,1,Overstrain Failure
329,H29742,H,297.6,308.4,1703.0,31.4,205.0,0,No Failure
330,H29743,H,297.7,308.5,1720.0,29.9,210.0,0,No Failure
331,M15190,M,297.6,308.4,,41.9,215.0,0,No Failure
332,M15191,M,297.6,308.4,1391.0,51.9,218.0,0,No Failure
333,M15192,M,297.6,308.3,1538.0,40.2,0.0,0,No Failure
334,L47513,L,297.5,308.2,1647.0,31.3,3.0,0,No Failure
335,M15194,M,,308.1,1469.0,44.8,5.0,0,No Failure
336,L47515,L,297.4,308.1,1749.0,25.9,8.0,0,No Failure
337,M15196,M,297.6,308.2,1995.0,20.5,10.0,0,No Failure
338,L47517,L,297.6,308.3,1742.0,27.7,13.0,0,No Failure
339,L47518,L,297.5,308.2,1563.0,38.2,15.0,0,No Failure
340,M15199,M,297.5,308.2,1713.0,32.2,17.0,0,No Failure
341,L47520,L,297.4,308.1,1474.0,39.4,20.0,0,No Failure
342,M15201,M,297.4,308.2,1530.0,32.6,22.0,0,No Failure
343,L47522,L,297.4,308.2,1471.0,46.5,25.0,0,No Failure
344,L47523,L,297.5,308.3,1388.0,48.6,27.0,0,No Failure
345,M15204,M,297.5,308.2,2448.0,13.8,29.0,0,No Failure
346,L47525,L,297.5,308.3,,32.9,32.0,0,No Failure
347,M15206,M,297.5,308.3,1459.0,45.2,34.0,0,No Failure
348,L47527,L,297.5,308.3,1544.0,40.8,37.0,0,No Failure
349,L47528,L,297.6,308.3,1617.0,31.7,39.0,0,No Failure
350,L47529,L,297.6,308.3,1595.0,34.3,41.0,0,No Failure
351,H29764,H,297.6,308.3,1400.0,44.3,43.0,0,No Failure
352,M15211,M,297.6,308.4,1611.0,31.0,48.0,0,No Failure
353,M15212,M,297.6,308.4,1507.0,46.0,51.0,0,No Failure
354,H29767,H,297.5,308.3,1674.0,30.0,54.0,0,No Failure
355,L47534,L,297.6,308.3,1658.0,34.3,,0,No Failure
356,L47535,L,297.6,308.3,1623.0,36.9,61.0,0,No Failure
357,M15216,M,297.6,308.4,1398.0,48.9,63.0,0,No Failure
358,L47537,L,297.6,308.4,1517.0,34.2,66.0,0,No Failure
359,M15218,M,297.6,,1467.0,36.7,68.0,0,No Failure
360,M15219,M,297.6,308.3,1567.0,34.6,71.0,0,No Failure
361,M15220,M,297.5,308.3,1521.0,,,0,No Failure
362,L47541,L,297.5,308.3,1596.0,36.8,77.0,0,No Failure
363,H29776,H,297.6,308.3,1640.0,30.9,79.0,0,No Failure
364,L47543,L,297.6,308.3,1438.0,47.8,84.0,0,No Failure
365,L47544,L,297.6,308.4,1407.0,,86.0,0,No Failure
366,L47545,L,297.6,308.4,1353.0,57.5,88.0,0,No Failure
367,M15226,M,297.6,308.5,1552.0,40.9,90.0,0,No Failure
368,M15227,M,297.6,308.4,1569.0,38.3,93.0,0,No Failure
369,L47548,L,297.5,308.4,1489.0,39.5,96.0,0,No Failure
370,H29783,H,297.5,308.4,1587.0,36.1,98.0,0,No Failure
371,M15230,M,297.5,308.3,1622.0,37.2,103.0,0,No Failure
372,L47551,L,297.5,308.4,1604.0,38.1,106.0,0,No Failure
373,M15232,M,297.4,308.3,1405.0,51.7,108.0,0,No Failure
374,L47553,L,297.4,308.3,1412.0,42.0,111.0,0,No Failure
375,L47554,L,297.4,308.3,1431.0,43.0,113.0,0,No Failure
376,L47555,L,297.4,308.2,1533.0,37.4,115.0,0,No Failure
377,M15236,M,297.4,308.2,1401.0,51.9,117.0,0,No Failure
378,M15237,M,,308.2,1424.0,53.9,120.0,0,No Failure
379,L47558,L,297.3,308.2,1754.0,29.4,123.0,0,No Failure
380,L47559,L,297.3,308.2,1754.0,26.8,125.0,0,No Failure
381,L47560,L,297.5,308.3,2564.0,12.8,127.0,1,Power Failure
382,L47561,L,297.5,308.5,1546.0,,129.0,0,No Failure
383,L47562,L,,308.5,1335.0,48.0,131.0,0,No Failure
384,M15243,M,297.5,308.6,1842.0,27.0,133.0,0,No Failure
385,L47564,L,297.5,308.5,,26.8,136.0,0,No Failure
386,M15245,M,297.6,308.6,1414.0,45.4,138.0,0,No Failure
387,L47566,L,297.6,308.7,1319.0,50.9,141.0,0,No Failure
388,L47567,L,297.7,308.7,1249.0,60.4,143.0,0,No Failure
389,L47568,L,297.6,308.7,1455.0,48.2,145.0,0,No Failure
390,M15249,M,297.6,308.7,1408.0,54.8,147.0,0,No Failure
391,L47570,L,297.6,308.7,1460.0,46.7,150.0,0,No Failure
